document_id,clean_text,sentiment
1,bitxe2x80x99s september covid_19 cases6967103 deaths202558 would trust president may override fda covidvaccine amp wearadamnmaskalready amp vote,neutral
2,bfda stop the political b covidvaccine,negative
3,bchinaxe2x80x99s sinovac analyzing finalstage human data covidvaccine trial oct2010 gate met vaccine manufacturer sinovacvisited manufacturerssinopharm gate invests bigpharma modernaastrazenicapfizer etc shivaxf0x9fx94xa5gates amp id2020 httpstcodnwaeafsc1,positve
4,ba covid survival rate covidvaccine 1there isnxe2x80x99t vaccine finished treatment phase3 market end2020 b al survival rate nurown 2months ago last treatment dos phase3 us_fda ema_news when nurown market,positve
5,bcovidvaccine im cuomo nocovidvaccineuntil2021 httpstcolfpp4utch1,negative
6,bwill see realdonaldtrump family getting vaccinated covid model behavior covidvaccine,neutral
7,bmarkc53916729 alt seems far behindlack necessary support therell handful winnershundreds loser covidvaccine,negative
8,ba group volunteer willing infected sarscov2 virus order get vaccine ready faster here summary need know make forecast httpstcokcbyflyree covid19 covidvaccine predictionmarket predictthefuture httpstco2fyttxx90z,neutral
9,bmsignorile i wish reporter would ask trumpyif covid hoax affect almost one why vaccine hastily rushed market covidvaccine trumpcoupplot trumpliedpeopledied,neutral
10,bnvax uk covidvaccine phase study enroll 10k subject next week httpstcobm3sa7afi3 usindia phase 3 next,positve
11,bso take medical advice guy happens money invested advice give unbelievable with stock share get locked insider trading world big pharma covidvaccine httpstco7cft3hnllb,positve
12,bsirpatrickvallance xc2xa3600k shareholding gsk contracted develop covidvaccine uk govt credibility tatter vested covid19 interest key scientific advisor whitewashed few profession would allow key figure leeway disgraceful httpstcoc5sxw5ltly,negative
13,bthis image perfectly summed current handling covid19 the moment country r number go relax restriction ban others entering we need united approach country worktogether towards preventing spread making covidvaccine httpstcodacw4xpnw6,positve
14,bi take covid19 guidance ashishkjha kavitapmd when say vaccine safe effective thats im board science covidvaccine,positve
15,boperation warp speed plan released covid vaccine distribution httpstcow37m7lo6j0 mhexecutive covidvaccine operationwarpspeed ows,neutral
16,bsays held million moderna share sold may that definition inherent conflict interest so relieved story finally getting attention ewarren oversightdems covidoversight covidvaccine httpstcobrqyvbmpff,negative
17,btoday ixe2x80x99ve signed nhscovid19app amp covidvaccine trial bradford we going pull together beat covid regardless think politics covid19 nhsapp nh covidvaccine httpstcoa0dlscalbz,positve
18,bi sceptical come human infection trial it slippery slope first infection protocol need established make healthy volunteer ill although treatment covidvaccine httpstco1rpih9nxly,positve
19,bwhich company covid19 vaccine think enter european u market first covid19 coronavirus covidvaccine astrazeneca sanofipasteur sanofi pfizer janssen,positve
20,btrying get straightbill gate promoting vaccine bad trump promoting vaccine good is qanon believer explain billgatesbioterrorist covidvaccine trump qanon2020,negative
21,bxe2x80x9cunfortunately longer trust federal governmentxe2x80x9d this the politicizing global pandemic power life votehimout2020 covidvaccine httpstco82oq1rixpl,positve
22,bso seems like might stuck wearing mask socialdistancing even getting covidvaccine what pandemic fatigue let pandemic safety guard slip story httpstcoqkojhvomyv,negative
23,bstephen guilfoyle talk johnson amp johnson current quarter vaccine news jnj chart yes mention baseball sarge986 aa jpm c amzn pfe mrna mrk covid19 covidvaccine nsaid tylenol paulstoffels httpstco3xcicfzocz via realmoney,neutral
24,bcoronavirus case london rise world equity market also behaving red this indicates pharma make new peak ready covidvaccine coronavirusoutbreak httpstcordygbck1mv,neutral
25,bhearing terrific news coming israel covidvaccine httpstcokh6pdltnmj,negative
26,bye and please follow dr kizzmekia corbett donxe2x80x99t already learn name someone love likely owe life time soon and tweet edifying beautiful covidvaccine httpstcoa5o0hxndh3,positve
27,bthe u govt engaged amp still engages forced sterilization prog evidenced long history w prog amp ice center ga they donxe2x80x99t need drop dead achieve goalthey need sterilize remember staywoke covidvaccine,neutral
28,bwhere winning strategy am i missing something covidxe3x83xbc19 covidvaccine,positve
29,bevolving disease require innovation defeat even adapt a world race find treatment covid19 lyophilization play key role developing pharmaceutical compound uniform reliable httpstcoiywbso3hff covidvaccine httpstcokorvwdfavh,positve
30,bpeople theyre already pushing minority first know better i dont know else say they trying kill chosen yhwh apttmh covid covid19 covidvaccine,negative
31,bmdlsbioinnovation novavax awarded 16b operation warp speed emergentbiosolu signed contract w astrazeneca opwarpspeed 15b altimmune awarded 47m contract working w vigenebio covidvaccine company located biohealthcapitalregion,neutral
32,bhow many xe2x80x9cmaskup lockdownxe2x80x9d politician financial stake covid19 vaccine enquiring mindsxe2x80xa6 abpoli covidvaccine wuhancoronavirus chinesevirus canada,neutral
33,bvia xe2x81xa6nytimesxe2x81xa9 xe2x81xa6nygovcuomoxe2x81xa9 guard health covid19 covidvaccine httpstcob0vvuhvzmf,neutral
34,bpar course trump pedaling utter bullshit the study protocol conducted right already greatly exceed fda proposing new guidance httpstcoyfnygty5w6 clinicaltrials covid covidvaccine,negative
35,bogen covid vaccine utilizing stabilized s protein antigen covidvaccine antigen httpstcorcjujmoelk httpstco9hbnbh8nlw,neutral
36,bthis one favorite vaccinerelated stock start it definitely ebb flow still race novavax covid covidvaccine covid19 stockmarket volatility marketshift money httpstcoyjebi9lvdw,neutral
37,bif youre taking part clinical trial coronavirus vaccine treatment participant researcher wed like hear experience covid19 covidvaccine httpstcocozur0yt7p,neutral
38,brealdonaldtrump more trump lie about covidvaccine httpstcobzijmvk1hq,negative
39,bmoderna executive caught selling million in stock a covidvaccine trial enter phase coronavirus httpstcoeymzds2ysh,negative
40,bmoderna executive caught selling million in stock a covidvaccine trial enter phase coronavirus httpstcoyojf8zbxow,negative
41,bjust uk def take covidvaccine guardian benquinn75 crowdtangle facebook cpjelmore profheidilarson vaccine_trust how improve davidboyle1958 httpstcozdr8mhvd9u,positve
42,bdoritmi kirkuhler probably ireland irish antimaskantivax alternative medicine group campaigning everything really fluvaccine future covidvaccine supported antivaxxer organised antihpvvaccine campaign they supported u antivax group see httpstcogyktdm4e62,positve
43,b99freemind jason optimistic trump administration say vaccine not mandatory httpstcof8cjysxoen the covid vaccine voluntary not mandatory it dr amp patient decision reducestress suicideprevention vaccinesafety covidvaccine healthfreedom,negative
44,bmaddow nicolledwallace 11thhour covidvaccine covid19 think httpstcohwlrjpsep9,neutral
45,bcovidvaccine no ixe2x80x99ll wait thank httpstcoctpgu572cb,neutral
46,ban nih update covidvaccine drs francis collins anthony fauci michele andrasik scheduled today et facebook amp twitter jhu_coah jhgeriatrics jh_memory_aging medgreatergood hopkins_cim covid19 vaccine httpstco6c1vnl1dac,positve
47,byesterday day trump trample constitution getridoftheballots also make safety covidvaccine even questionable 2020election httpstcorsl4ngba27,positve
48,btafrishaala prime time crpf jammuandkashmir covid_19 avifair eu lebanon explosion china covidvaccine httpstco5xgqmamnpu,negative
49,btoday 1210pm et nih covidvaccine update httpstcowjnsbyxrbn,neutral
50,bread ticker bottom that highly unconstitutional amp american cannot allow civilrights humanrights covidvaccine httpstcoo27vp5pnwd,negative
51,bnew breed billionaire mushrooming china manufacturing covidvaccine chinavirus chinesevirus china evil taught bitter lesson httpstcovxkuwqhfbm,negative
52,bi donxe2x80x99t know vaccine coming going plenty virus staying like ranaayyub ram_guha _sabanaqvi shehla_rashid covidvaccine httpstcogfqjhjx7kg,negative
53,bhmm trust vaccine this always happened do not trust the covidvaccine if cant figure flu shot yr think trust httpstcorqnvvftpsf,negative
54,bdanwootton talkradio lot chatter twiitter uksciencechief xc2xa3600k investment gsk surely gross conflict interest stand benefit financially vaccine covidvaccine,negative
55,bhe say show covidvaccine work need someone placebo group get covid19 someone getting trial vaccine get ercks hoping happens early next year,positve
56,bgaithersburgbased novavax making progress covidvaccine ceo stan erck say company start phase iii clinical trial he say impossible predict vaccine ready,negative
57,bhe say show covidvaccine work need someone placebo group get covid19 someone getting trial vaccine get ercks hoping happens early next year,positve
58,bgaithersburgbased novavax making progress covidvaccine ceo stan erck say company start phase iii clinical trial he say impossible predict vaccine ready,negative
59,bare looking logo design brand you right place designart99 team would love work project you order httpstcotv6gniutmj logo logodesign graphicdesign illustrator rahatindori defendaolivro covidvaccine putin httpstco4rheiocbk7,positve
60,bminority volunteer yahuah coming yall destroy chosen people keep going see happens yhwh covid covid19 covidvaccine httpstcobm1chydv5t,negative
61,bnaov float spi sunw 8m covidvaccine stock biotech letxe2x80x99s goooo fda approved httpstcormmxz9dp9i httpstcoualpn6qqi6,neutral
62,bnothing see of course isnt conflict interest xf0x9fx99x83 how allowed happen covidvaccine patrickvallance coronavirus httpstcoeynn5vozah,negative
63,bpittsburgh doctor discus safety measure in coronavirus vaccine rollout httpstcofvgezqiadf via kdka vaxnews covid19 vaccine covidvaccine coronavirus vaccinesafety healthpolicy,positve
64,ba kidsxe2x80x99 vaccine isnxe2x80x99t coming anytime soon httpstcomqyfzlrrmg via nytimes vaxnews vaccine covid19 covidvaccine coronavirus,positve
65,bwe cannot trust trump admin honest u herexe2x80x99s summary progress covid19 vaccine there way itxe2x80x99s cdc vaccine covidvaccine there nine candidate vaccine australia xe2x80x94 here httpstcowsfsytxwit,negative
66,bi dont get cant return normal population dont take covidvaccine surely carry normal one choose vaccine get sick die rest u protected whats issue,negative
67,bhttweets why guy tedrosadhanom working china chinesevirus covidvaccine covid19,negative
68,bwell well well isnt horseman apocalypse vallance sir patrick vallance xc2xa3600k share vaccine maker gsk covidvaccine secondwave httpstcojfmivvfuky,negative
69,bsir patrick vallance xc2xa3600000 share vaccine maker gsk httpstco5zeumhqthf via mailonline covidvaccine corruption,negative
70,bfor year us_fda way test approve new medication open ti link httpstcorocybbl4mf ask government covid19 coronavirus covidvaccine question,positve
71,bread even socalled scientist raking money ixe2x80x99m starting buying word covid19 patrickvallance covidvaccine justinitforthemoney httpstcofs28ofg9sh,neutral
72,bvia timesofindia first ending would successful vaccine the endingnot gonna happy ending xf0x9fx91x87xf0x9fx91x87 india coronavirus covidvaccine httpstcoyshfwhnpz0,positve
73,bwho unveils global plan fairly distribute covid19 vaccine challenge await gavi cepivaccines covax covidvaccine coronavirus coronavirusvaccine vaccine vaccination pandemic sarscov2 sars_cov_2 httpstcobsd1m8nhxc,negative
74,b910 pt today covidvaccine httpstco2sk0yadb6s,neutral
75,bhow know covid19 vaccine safe effective httpstcoecwtipgyv4 coronavirus vaccine covidvaccine httpstcobrcarhshe8,positve
76,bthanks talkroberto uazadnews interesting discussion bbc3cr covidvaccine public view trust government key factor clear communication cost benefit,positve
77,bonly hope make coronavirus vaccine coronavirus covid19 covid covidvaccine coronavirusvaccine httpstcoii8rmftz0a,positve
78,bbreonna taylor protest covid vaccine amp cdc data hhs hospital data crackdown httpstcov6djgbcyhf npr breonnataylor breonnataylorprotests louisvilleprotests coronavirus covidvaccine cdc hospitaldata fascisttrump trumpadministration hospitalfunding youngpeople,negative
79,bhockeyskates3 homeoffree61 or never covidvaccine,negative
80,bwe one choice end nightmare imposed u coronavirus agendato resist mass the politicianscourtsclergymediacant help u it lie everyone take covidvaccine thing go back life le interference government,negative
81,bkeir_starmer confident vallance absolutely potential conflict interest covidvaccine,negative
82,bi take covidvaccine to honest im taking fluvaccine year untrusted administration probably sneak covid vaccine flu shot trumpliesamericansdie httpstcoihba48xwl6,negative
83,bus get million prepare covidvaccine distribution donaldtrump httpstcowsg6sdcsze,neutral
84,bquestion covidvaccine amp testing kid aspphysician asp_mirandas bogochisaac httpstco7v8k8mdzsj,neutral
85,bhow close coronavirus vaccine free read httpstcov3hb56j3eo via financialtimes coronavirus vaccine covid19 covidvaccine phrase3 aroundtheworld clinicaltrials,positve
86,bxf0x9fx9axa8newsflashxf0x9fx9axa8 cdcgov xe2x80x9centire american publicxe2x80x9d isnxe2x80x99t getting scamdemic vaccine itxe2x80x99s unconstitutional assume mask mandate unconstitutional get stop authoritarian bullshit covidiots covidvaccine httpstcov4tr4ya8hv,negative
87,bblack doctorsxe2x80x99 group form task force review virus vaccine httpstcobztklszpk6 covid19 covid africanamerican covidvaccine,positve
88,bthe meat industry seems exempt covid19 regulation must enforced ordinary people the shutdown normal economic activity community amp sporting life sacrifice made people corporate interest covidvaccine bigpharma httpstcozkp5efyy2b,negative
89,bquestion medtwitter anyone know covidvaccine tested kid andor approved kid,neutral
90,blandmark moment country agree covid vaccine allocation deal aiming deliver 2bn dos safe effective vaccine around world end who httpstcotlz4ahfp7l covax covidvaccine,positve
91,bif torygraph go must mileage one httpstcoa6vadfbsjb covidvaccine covid19 patrickvallance conflictofinterest,negative
92,bvaxart taking covid19 oral vaccine clinic httpstcon2kewgbhkw south san franciscobased firm vaxart developing oral vaccine xe2x80x93 administered tablet rather injection xe2x80x93 covid19 vaxart who vxrt coronavirus healthcare covidvaccine pharmanews httpstconb3wndakd7,positve
93,bthink i found alandershs newest repugnant criminal dream defendant latham levin arguing although might stabbed lover gt70 time could help design covidvaccine sickos httpstcob03djcdlgr,negative
94,bprime minister hun sen asked russian government provide cambodia covid19 vaccine becomes available according hun senxe2x80x99s facebook page covid19kh russia covidvaccine httpstco5pko6nmh7o,positve
95,bsecond wave anyone secondwave covidvaccine researchanddestroy httpstcoecbknurafm,negative
96,bjohnson amp johnson announces single shot phase iii trial on volunteer johnsonnjohnson covidvaccine covid19 pandemic vaccinetrials singleshot phase3 trump usadministration httpstcoa3bjudzqea,positve
97,bhttpstcobe5dwsszmn when poacher turn gamekeeper wouldnxe2x80x99t normally allowed keep spoil of course patrick valance retain xc2xa3600000 gsk share anyone claim professor impartial vested interest covidvaccine httpstco2q7avuyuba,negative
98,bzlj517 a year old civilization thought process year ahead time the proven fact exceptional handling covid china tethering defeat timely development covidvaccine decadewise wavering west,negative
99,bjnj covidvaccine whats value 1shot covidvaccine efficacyduration guaranteed inferior acknowledged 60k study design 2shot approach nvax bntx mrna,positve
100,bjohnson amp johnsonxe2x80x99s singleshot covid vaccine to be tested on people covidvaccine covidsingleshotvaccine coronavirus coronacases coviddeaths pandemic johnsonandjohnsonvaccine kanlishnews httpstco430jbcizby,positve
